year,Inflation rate, budget ,budget_cleaned, gross ,gross_cleaned,company,country,director,genre,,name,rating,released,runtime,score,star,votes,writer
2000,1.3938,"$120,000 ","$167,256 ","$14,904 ","$20,773 ",Chango Productions,USA,Bryan Johnson,Crime,,Vulgar,R,4/26/02,87,5.3,Brian O'Halloran,3665,Bryan Johnson
2000,1.3938,"$3,000,000 ","$4,181,400 ","$40,361 ","$56,255 ",Miramax,USA,Lisa Krueger,Comedy,,Committed,R,7/14/00,98,5.2,Heather Graham,3330,Lisa Krueger
2000,1.3938,"$3,600,000 ","$5,017,680 ","$43,805 ","$61,055 ",Animal Productions LLC,USA,Steve Buscemi,Crime,,Animal Factory,R,8/1/00,94,6.6,Willem Dafoe,11086,Edward Bunker
2000,1.3938,"$16,000,000 ","$22,300,800 ","$102,622 ","$143,035 ",StudioCanal,USA,Kathryn Bigelow,Crime,,The Weight of Water,R,7/31/02,100,5.9,Catherine McCormack,7993,Anita Shreve
2000,1.3938,"$10,000,000 ","$13,938,000 ","$139,692 ","$194,703 ",Haft Entertainment,USA,Joel Schumacher,Drama,,Tigerland,R,5/24/01,101,7,Colin Farrell,34628,Ross Klavan
2000,1.3938,"$42,000 ","$58,540 ","$241,816 ","$337,043 ",Free Country U.S.A.,USA,David Gordon Green,Drama,,George Washington,NOT RATED,9/28/01,89,7.4,Candace Evanofski,6692,David Gordon Green
2000,1.3938,"$8,500,000 ","$11,847,300 ","$327,418 ","$456,355 ",Polygram Filmed Entertainment,USA,Keith Gordon,Drama,,Waking the Dead,R,3/24/00,105,6.7,Billy Crudup,6173,Scott Spencer
2000,1.3938,"$10,000,000 ","$13,938,000 ","$447,750 ","$624,074 ",Recorded Picture Company (RPC),USA,Takeshi Kitano,Crime,,Brother,R,9/28/01,114,7.2,Takeshi Kitano,19600,Takeshi Kitano
2000,1.3938,"$1,000,000 ","$1,393,800 ","$779,137 ","$1,085,961 ",Artisan Entertainment,USA,Henry Bromell,Comedy,,Panic,R,10/19/01,88,6.8,William H. Macy,7413,Henry Bromell
2000,1.3938,"$24,000,000 ","$33,451,200 ","$882,710 ","$1,230,321 ",Miramax,USA,James Gray,Crime,,The Yards,R,10/27/00,115,6.4,Mark Wahlberg,17187,James Gray
2000,1.3938,"$4,000,000 ","$5,575,200 ","$945,041 ","$1,317,198 ",Screen Gems,USA,Mike Figgis,Drama,,Timecode,R,4/28/00,97,6.2,Jeanne Tripplehorn,6042,Mike Figgis
2000,1.3938,"$250,000 ","$348,450 ","$1,050,600 ","$1,464,326 ",Artisan Entertainment,USA,Miguel Arteta,Comedy,,Chuck & Buck,R,8/4/00,96,6.6,Mike White,4800,Mike White
2000,1.3938,"$1,000,000 ","$1,393,800 ","$1,523,941 ","$2,124,069 ",Green/Renzi,USA,Karyn Kusama,Drama,,Girlfight,R,10/6/00,110,6.8,Michelle Rodriguez,8530,Karyn Kusama
2000,1.3938,"$2,000,000 ","$2,787,600 ","$1,568,749 ","$2,186,522 ",double A Films,USA,Michael Almereyda,Drama,,Hamlet,R,6/23/00,112,6,Ethan Hawke,8354,William Shakespeare
2000,1.3938,"$10,000,000 ","$13,938,000 ","$1,631,839 ","$2,274,457 ",Hollywood Pictures,USA,Eric Blakeney,Comedy,,Gun Shy,R,2/4/00,101,5.7,Liam Neeson,6181,Eric Blakeney
2000,1.3938,"$1,000,000 ","$1,393,800 ","$1,744,858 ","$2,431,983 ",Banner Entertainment,USA,Greg Berlanti,Comedy,,The Broken Hearts Club: A Romantic Comedy,R,10/20/00,94,7,Timothy Olyphant,6337,Greg Berlanti
2000,1.3938,"$10,000,000 ","$13,938,000 ","$2,185,266 ","$3,045,824 ",New Line Cinema,USA,Spike Lee,Comedy,,Bamboozled,R,10/20/00,135,6.5,Damon Wayans,9042,Spike Lee
